id,name,category_primary,region,tier,tier_label,sub_tier,sub_tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,cv_disagreement_m,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m
08f489c1a2aa53ae03fb24c82cd62859,Discount Carpet Warehouse,carpet_store,TX,1,standard_commercial,1c,small_urban_storefront,29.3919986,-98.4047948,29.3919986,-98.4047948,1.0,"The current pin is already at the main customer entrance of Discount Carpet Warehouse, as it is positioned at the storefront door facing the street.",gpt-4o-mini,29.3919986,-98.4047948,1.0,29.391792948338015,-98.4047948,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Discount Carpet Warehouse.,both,,,,,,"2153 S WW White Rd, San Antonio, TX, 78222-1121, US",0.0,0.0,0.0
08f28d5408ba64a8037c8e0fedd45289,Starbucks,coffee_shop,WA,1,standard_commercial,1c,small_urban_storefront,47.682075,-122.3168268,47.682075,-122.3168268,1.0,"The current pin is already at the main customer entrance of the Starbucks, which is the storefront door facing the street.",gpt-4o-mini,47.682075,-122.3168268,1.0,47.68191609201746,-122.3168268,0.8,"The identified entry point is the most visible driveway entrance leading into the parking lot from the road, allowing access to the Starbucks location.",both,,,,,,"7300 Roosevelt Way NE, Seattle, WA, 98115-5663, US",0.0,0.0,0.0
08f4442c800144690333021202c6d802,Miller Blasting,sandblasting_service,LA,1,standard_commercial,1c,small_urban_storefront,30.7886308,-89.8504775,30.7886308,-89.8504775,1.0,"The current pin is already at the main customer entrance of the building, which is the storefront door facing the street.",gpt-4o-mini,30.7886308,-89.8504775,1.0,30.7886308,-89.8504775,0.2,The property appears to be surrounded by residential areas with no visible driveway or parking lot entry from the road.,shared,,,,,,"910 Carolina Ave, Bogalusa, LA, 70427-3906, US",0.0,0.0,0.0
08f26152ae4e6d5a03ac58c01093fa87,"Canada Goose Lodge, LLC",hotel,SD,1,standard_commercial,1b,large_standalone,43.366809636354446,-99.8504313826561,43.366809636354446,-99.8504313826561,1.0,"The current pin is already at the main customer entrance of Canada Goose Lodge, facing the street.",gpt-4o-mini,43.366809636354446,-99.8504313826561,1.0,43.366809636354446,-99.8504313826561,0.2,The property appears to be surrounded by open land with no visible driveway or parking lot entry from the road.,shared,,,,,,"1253 Country Club Rd, Winner, SD, 57580, US",0.0,0.0,0.0
08f44d85000920990329fd48af3494d6,Teague's Pawn Shop,pawn_shop,SC,1,standard_commercial,1c,small_urban_storefront,34.9379677,-81.0417177,34.9379677,-81.0417177,1.0,"The current pin is already located at the main customer entrance of Teague's Pawn Shop, which is the storefront door facing the street.",gpt-4o-mini,34.9379677,-81.0417177,1.0,34.937774206366996,-81.0417177,0.9,"The entry point is identified at the bottom of the property where the driveway leads from the road into the parking lot, making it the most visible and primary access point for vehicles.",both,,,,,,"262 Cherry Rd S, Rock Hill, SC, 29732-3401, US",0.0,0.0,0.0
08f2a100a2c919110359c72481d422a2,Sadaka Law,personal_injury_law,NJ,4,no_building,4,no_building,40.89866638183594,-73.97113037109375,40.89866638183594,-73.97113037109375,0.3,No dedicated commercial structure is visible at the provided address; it appears to be a residential area or home-based business.,gpt-4o-mini,,,,,,,,,,,,,,"155 N Dean St, Englewood, NJ, 07631, US",0.0,0.0,0.0
08f26c872d044c8603611a9d32832af8,Kelli McCamy,professional_services,TX,4,no_building,4,no_building,33.154743,-96.866387,33.154743,-96.866387,0.3,No dedicated commercial structure is visible; the area appears to be residential or a home-based business.,gpt-4o-mini,,,,,,,,,,,,,,"2770 Main St, Frisco, TX, 75033-4302, US",0.0,0.0,0.0
08f274864e520c4103e611695fb5dcc2,In the Company of Others,professional_services,MI,4,no_building,4,no_building,42.2956688,-85.6106061,42.2956688,-85.6106061,0.3,No dedicated commercial structure is visible; the area appears residential.,gpt-4o-mini,,,,,,,,,,,,,,"1738 Commonwealth Ave, Kalamazoo, MI, 49006-3153, US",0.0,0.0,0.0
08f2818d3380238803798fbba833f339,"Goodwill Industries International, Inc.",thrift_store,OR,1,standard_commercial,1c,small_urban_storefront,42.4389855,-123.3075289,42.4389855,-123.3075289,1.0,"The current pin is already at the main customer entrance of the thrift store, as it is positioned at the storefront door facing the street.",gpt-4o-mini,42.4389855,-123.3075289,1.0,42.438478760434485,-123.3075289,0.9,"The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Goodwill Industries International, Inc.",both,,,,,,"346 NE Beacon Dr, Grants Pass, OR, 97526-3844, US",0.0,0.0,0.0
08f2818d840f26a1037b3b273d4027ec,Wood Chuck Tree Werks,home_improvement_store,OR,1,standard_commercial,1b,large_standalone,42.5353423,-123.1812551,42.5353423,-123.1812551,1.0,"The current pin is already at the main customer entrance of the Wood Chuck Tree Werks store, as it is positioned at the storefront door facing the street.",gpt-4o-mini,42.5353423,-123.1812551,1.0,42.5353423,-123.1812551,0.2,"The property appears to be surrounded by trees with no visible driveway or parking lot entry from the road, indicating a pedestrian-only access.",shared,,,,,,"1124 Queens Branch Rd, Rogue River, OR, 97537-6637, US",0.0,0.0,0.0
